"","Lot_Frontage","Lot_Area","Year_Built","Year_Remod_Add","Mas_Vnr_Area","BsmtFin_SF_1","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","First_Flr_SF","Second_Flr_SF","Low_Qual_Fin_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","TotRms_AbvGrd","Fireplaces","Garage_Cars","Garage_Area","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","Three_season_porch","Screen_Porch","Pool_Area","Misc_Val","Mo_Sold","Year_Sold","Sale_Price","Overall_Qual","Overall_Cond"
"1",141,31770,1960,1960,112,2,0,441,1080,1656,0,0,1656,1,0,1,0,3,1,7,2,2,528,210,62,0,0,0,0,0,5,2010,215000,2,1
"2",80,11622,1961,1961,0,6,144,270,882,896,0,0,896,0,0,1,0,2,1,5,0,1,730,140,0,0,0,120,0,0,6,2010,105000,1,2
"3",81,14267,1958,1958,108,1,0,406,1329,1329,0,0,1329,0,0,1,1,3,1,6,0,1,312,393,36,0,0,0,0,12500,6,2010,172000,2,2
"4",93,11160,1968,1968,0,1,0,1045,2110,2110,0,0,2110,1,0,2,1,3,1,8,2,2,522,0,0,0,0,0,0,0,4,2010,244000,2,1
"5",74,13830,1997,1998,0,3,0,137,928,928,701,0,1629,0,0,2,1,3,1,6,1,2,482,212,34,0,0,0,0,0,3,2010,189900,1,1
"6",78,9978,1998,1998,20,3,0,324,926,926,678,0,1604,0,0,2,1,3,1,7,1,2,470,360,36,0,0,0,0,0,6,2010,195500,2,2
"7",41,4920,2001,2001,0,3,0,722,1338,1338,0,0,1338,1,0,2,0,2,1,6,0,2,582,0,0,170,0,0,0,0,4,2010,213500,2,1
"8",43,5005,1992,1992,0,1,0,1017,1280,1280,0,0,1280,0,0,2,0,2,1,5,0,2,506,0,82,0,0,144,0,0,1,2010,191500,2,1
"9",39,5389,1995,1996,0,3,0,415,1595,1616,0,0,1616,1,0,2,0,2,1,5,1,2,608,237,152,0,0,0,0,0,3,2010,236500,2,1
"10",60,7500,1999,1999,0,7,0,994,994,1028,776,0,1804,0,0,2,1,3,1,7,1,2,442,140,60,0,0,0,0,0,6,2010,189000,2,1
"11",75,10000,1993,1994,0,7,0,763,763,763,892,0,1655,0,0,2,1,3,1,7,1,2,440,157,84,0,0,0,0,0,4,2010,175900,2,1
"12",0,7980,1992,2007,0,1,0,233,1168,1187,0,0,1187,1,0,2,0,3,1,6,0,2,420,483,21,0,0,0,0,500,3,2010,185000,2,2
"13",63,8402,1998,1998,0,7,0,789,789,789,676,0,1465,0,0,2,1,3,1,7,1,2,393,0,75,0,0,0,0,0,5,2010,180400,2,1
"14",85,10176,1990,1990,0,3,0,663,1300,1341,0,0,1341,1,0,1,1,2,1,5,1,2,506,192,0,0,0,0,0,0,2,2010,171500,2,1
"15",0,6820,1985,1985,0,3,1120,0,1488,1502,0,0,1502,1,0,1,1,1,1,4,0,2,528,0,54,0,0,140,0,0,6,2010,212000,2,1
"16",47,53504,2003,2003,603,1,0,234,1650,1690,1589,0,3279,1,0,3,1,4,1,12,1,3,841,503,36,0,0,210,0,0,6,2010,538000,2,1
"17",152,12134,1988,2005,0,3,0,132,559,1080,672,0,1752,0,0,2,0,4,1,8,0,2,492,325,12,0,0,0,0,0,6,2010,164000,2,2
"18",88,11394,2010,2010,350,3,0,411,1856,1856,0,0,1856,1,0,1,1,1,1,8,1,3,834,113,0,0,0,0,0,0,6,2010,394432,2,3
"19",140,19138,1951,1951,0,4,0,744,864,864,0,0,864,0,0,1,0,2,1,4,0,2,400,0,0,0,0,0,0,0,6,2010,141000,3,1
"20",85,13175,1978,1988,119,1,163,589,1542,2073,0,0,2073,1,0,2,0,3,1,7,2,2,500,349,0,0,0,0,0,0,2,2010,210000,2,2
"21",105,11751,1977,1977,480,2,0,1139,1844,1844,0,0,1844,0,0,2,0,3,1,7,1,2,546,0,122,0,0,0,0,0,1,2010,190000,2,2
"22",85,10625,1974,1974,81,3,168,0,1053,1173,0,0,1173,1,0,2,0,3,1,6,2,2,528,0,120,0,0,0,0,0,1,2010,170000,2,2
"23",0,7500,2000,2000,0,3,0,281,814,814,860,0,1674,1,0,2,1,3,1,7,0,2,663,0,96,0,0,0,0,0,1,2010,216000,2,1
"24",0,11241,1970,1970,180,1,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,2,480,0,0,0,0,0,0,700,3,2010,149000,2,2
"25",0,12537,1971,2008,0,3,0,344,1078,1078,0,0,1078,1,0,1,1,3,1,6,1,2,500,0,0,0,0,0,0,0,4,2010,149900,1,2
"26",65,8450,1968,1968,0,2,0,281,1056,1056,0,0,1056,1,0,1,0,3,1,6,1,1,304,0,85,184,0,0,0,0,7,2010,142000,1,2
"27",70,8400,1970,1970,0,1,78,0,882,882,0,0,882,1,0,1,0,2,1,4,0,2,525,240,0,0,0,0,0,0,4,2010,126000,3,1
"28",70,10500,1971,1971,0,1,0,432,864,864,0,0,864,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,0,4,2010,115000,3,1
"29",26,5858,1999,1999,0,3,0,354,1405,1337,0,0,1337,1,0,2,0,2,1,5,1,2,511,203,68,0,0,0,0,0,6,2010,184000,2,1
"30",21,1680,1971,1971,504,6,0,327,483,483,504,0,987,0,0,1,1,2,1,5,0,1,264,275,0,0,0,0,0,0,2,2010,96000,2,1
"31",21,1680,1971,1971,492,6,0,225,525,525,567,0,1092,0,0,1,1,3,1,6,0,1,320,0,0,0,0,0,0,0,3,2010,105500,1,1
